Ward,Precinct,Registered,Votes,RAHM EMANUEL ,%,WILLIE WILSON ,%,ROBERT W. FIORETTI ,%,JESUS ''CHUY'' GARCIA ,%,"WILLIAM WALLS, III ",%
48,24,833,268,148,0.5522,9,0.0336,20,0.0746,89,0.3321,2,0.0075
48,25,575,263,116,0.4411,4,0.0152,9,0.0342,133,0.5057,1,0.0038
48,26,409,131,74,0.5649,3,0.0229,10,0.0763,43,0.3282,1,0.0076
48,27,1128,197,97,0.4924,5,0.0254,12,0.0609,79,0.401,4,0.0203
48,28,909,343,215,0.6268,20,0.0583,21,0.0612,82,0.2391,5,0.0146
48,29,359,227,181,0.7974,2,0.0088,10,0.0441,32,0.141,2,0.0088
48,30,555,228,88,0.386,6,0.0263,15,0.0658,115,0.5044,4,0.0175
48,31,1019,297,146,0.4916,23,0.0774,12,0.0404,110,0.3704,6,0.0202
48,32,627,201,89,0.4428,12,0.0597,10,0.0498,86,0.4279,4,0.0199
48,33,367,220,152,0.6909,3,0.0136,9,0.0409,54,0.2455,2,0.0091
48,34,588,250,114,0.456,6,0.024,18,0.072,112,0.448,0,0
48,35,779,212,132,0.6226,21,0.0991,10,0.0472,47,0.2217,2,0.0094
48,36,391,224,143,0.6384,6,0.0268,8,0.0357,66,0.2946,1,0.0045
48,37,726,227,77,0.3392,4,0.0176,6,0.0264,137,0.6035,3,0.0132
48,38,647,320,153,0.4781,6,0.0188,5,0.0156,152,0.475,4,0.0125
48,39,591,247,156,0.6316,10,0.0405,8,0.0324,70,0.2834,3,0.0121
48,40,548,217,95,0.4378,6,0.0276,10,0.0461,105,0.4839,1,0.0046
48,41,811,242,111,0.4587,13,0.0537,19,0.0785,95,0.3926,4,0.0165
48,42,758,270,100,0.3704,4,0.0148,15,0.0556,148,0.5481,3,0.0111
48,43,799,277,147,0.5307,15,0.0542,17,0.0614,91,0.3285,7,0.0253
48,44,771,269,129,0.4796,3,0.0112,15,0.0558,119,0.4424,3,0.0112
48,45,486,170,61,0.3588,6,0.0353,7,0.0412,93,0.5471,3,0.0176
48,46,470,198,107,0.5404,9,0.0455,13,0.0657,65,0.3283,4,0.0202
49,1,657,159,78,0.4906,19,0.1195,4,0.0252,51,0.3208,7,0.044
49,2,473,187,82,0.4385,5,0.0267,9,0.0481,90,0.4813,1,0.0053
49,3,880,316,127,0.4019,18,0.057,11,0.0348,154,0.4873,6,0.019
49,4,867,300,105,0.35,9,0.03,21,0.07,163,0.5433,2,0.0067
49,5,795,292,135,0.4623,31,0.1062,20,0.0685,98,0.3356,8,0.0274
49,6,651,225,98,0.4356,15,0.0667,9,0.04,98,0.4356,5,0.0222
49,7,626,250,122,0.488,7,0.028,17,0.068,102,0.408,2,0.008
49,8,651,216,111,0.5139,6,0.0278,12,0.0556,83,0.3843,4,0.0185
49,9,714,270,123,0.4556,12,0.0444,17,0.063,114,0.4222,4,0.0148
49,10,711,273,112,0.4103,15,0.0549,12,0.044,128,0.4689,6,0.022
49,11,835,313,124,0.3962,14,0.0447,19,0.0607,149,0.476,7,0.0224
49,12,873,301,122,0.4053,10,0.0332,11,0.0365,150,0.4983,8,0.0266
49,13,808,315,129,0.4095,13,0.0413,16,0.0508,155,0.4921,2,0.0063
49,14,729,268,142,0.5299,19,0.0709,13,0.0485,89,0.3321,5,0.0187
49,15,607,190,84,0.4421,11,0.0579,10,0.0526,80,0.4211,5,0.0263
49,16,794,318,176,0.5535,13,0.0409,13,0.0409,105,0.3302,11,0.0346
49,17,564,248,145,0.5847,11,0.0444,12,0.0484,78,0.3145,2,0.0081
49,18,888,333,122,0.3664,7,0.021,14,0.042,186,0.5586,4,0.012
49,19,744,222,110,0.4955,9,0.0405,6,0.027,91,0.4099,6,0.027
49,20,1002,385,149,0.387,16,0.0416,19,0.0494,196,0.5091,5,0.013
49,21,549,172,94,0.5465,7,0.0407,10,0.0581,56,0.3256,5,0.0291
49,22,833,324,135,0.4167,29,0.0895,10,0.0309,142,0.4383,8,0.0247
49,23,845,293,111,0.3788,9,0.0307,17,0.058,149,0.5085,7,0.0239
49,24,782,214,95,0.4439,31,0.1449,7,0.0327,75,0.3505,6,0.028
49,25,859,334,128,0.3832,10,0.0299,21,0.0629,171,0.512,4,0.012
49,26,857,315,146,0.4635,23,0.073,14,0.0444,127,0.4032,5,0.0159
49,27,866,266,118,0.4436,22,0.0827,5,0.0188,111,0.4173,10,0.0376
49,28,889,296,123,0.4155,9,0.0304,17,0.0574,143,0.4831,4,0.0135
49,29,801,313,123,0.393,11,0.0351,16,0.0511,153,0.4888,10,0.0319
49,30,842,282,123,0.4362,11,0.039,17,0.0603,123,0.4362,8,0.0284
49,31,596,225,116,0.5156,22,0.0978,10,0.0444,72,0.32,5,0.0222
49,32,818,295,141,0.478,30,0.1017,13,0.0441,105,0.3559,6,0.0203
49,33,699,226,92,0.4071,18,0.0796,9,0.0398,106,0.469,1,0.0044
50,1,650,260,168,0.6462,18,0.0692,5,0.0192,65,0.25,4,0.0154
50,2,477,149,86,0.5772,6,0.0403,18,0.1208,39,0.2617,0,0
50,3,590,245,142,0.5796,5,0.0204,20,0.0816,77,0.3143,1,0.0041
50,4,764,257,137,0.5331,6,0.0233,11,0.0428,97,0.3774,6,0.0233
50,5,562,212,134,0.6321,9,0.0425,21,0.0991,45,0.2123,3,0.0142
50,6,828,265,150,0.566,12,0.0453,26,0.0981,72,0.2717,5,0.0189
50,7,708,328,140,0.4268,11,0.0335,23,0.0701,146,0.4451,8,0.0244
50,8,655,192,89,0.4635,12,0.0625,5,0.026,82,0.4271,4,0.0208
50,9,640,200,96,0.48,10,0.05,16,0.08,75,0.375,3,0.015
50,10,821,202,123,0.6089,7,0.0347,19,0.0941,52,0.2574,1,0.005
50,11,510,157,110,0.7006,8,0.051,11,0.0701,25,0.1592,3,0.0191
50,12,266,131,98,0.7481,7,0.0534,8,0.0611,16,0.1221,2,0.0153
50,13,913,190,81,0.4263,15,0.0789,12,0.0632,73,0.3842,9,0.0474
50,14,197,90,66,0.7333,5,0.0556,2,0.0222,17,0.1889,0,0
50,15,668,295,136,0.461,5,0.0169,25,0.0847,124,0.4203,5,0.0169
50,16,206,100,75,0.75,0,0,6,0.06,19,0.19,0,0
50,17,769,175,90,0.5143,14,0.08,16,0.0914,53,0.3029,2,0.0114
50,18,136,74,66,0.8919,0,0,3,0.0405,4,0.0541,1,0.0135
50,19,581,156,66,0.4231,12,0.0769,17,0.109,58,0.3718,3,0.0192
50,20,705,255,102,0.4,10,0.0392,15,0.0588,128,0.502,0,0
50,21,579,168,75,0.4464,3,0.0179,13,0.0774,76,0.4524,1,0.006
50,22,695,178,113,0.6348,9,0.0506,16,0.0899,36,0.2022,4,0.0225
50,23,598,152,96,0.6316,5,0.0329,10,0.0658,38,0.25,3,0.0197
50,24,728,210,140,0.6667,4,0.019,19,0.0905,46,0.219,1,0.0048
50,25,752,231,135,0.5844,8,0.0346,14,0.0606,69,0.2987,5,0.0216
50,26,852,210,114,0.5429,9,0.0429,11,0.0524,74,0.3524,2,0.0095
50,27,179,88,62,0.7045,4,0.0455,3,0.0341,19,0.2159,0,0
50,28,840,234,132,0.5641,17,0.0726,12,0.0513,69,0.2949,4,0.0171
50,29,732,165,67,0.4061,14,0.0848,7,0.0424,72,0.4364,5,0.0303
50,30,568,169,86,0.5089,6,0.0355,10,0.0592,66,0.3905,1,0.0059
50,31,921,211,99,0.4692,14,0.0664,5,0.0237,87,0.4123,6,0.0284
50,32,853,209,103,0.4928,16,0.0766,15,0.0718,74,0.3541,1,0.0048
50,33,539,196,131,0.6684,4,0.0204,20,0.102,41,0.2092,0,0
50,34,808,297,149,0.5017,12,0.0404,15,0.0505,118,0.3973,3,0.0101
50,35,723,261,120,0.4598,9,0.0345,14,0.0536,115,0.4406,3,0.0115
50,36,654,239,116,0.4854,4,0.0167,20,0.0837,98,0.41,1,0.0042
50,37,611,228,116,0.5088,10,0.0439,16,0.0702,85,0.3728,1,0.0044
50,38,261,153,111,0.7255,6,0.0392,11,0.0719,22,0.1438,3,0.0196
50,39,597,148,97,0.6554,2,0.0135,12,0.0811,37,0.25,0,0
50,40,778,260,173,0.6654,13,0.05,26,0.1,48,0.1846,0,0
