Ward,Precinct,Registered,Votes,RAHM EMANUEL ,%,WILLIE WILSON ,%,ROBERT W. FIORETTI ,%,JESUS ''CHUY'' GARCIA ,%,"WILLIAM WALLS, III ",%
44,7,528,237,172,0.7257,4,0.0169,15,0.0633,44,0.1857,2,0.0084
44,8,847,268,158,0.5896,7,0.0261,22,0.0821,80,0.2985,1,0.0037
44,9,691,168,104,0.619,2,0.0119,10,0.0595,52,0.3095,0,0
44,10,759,162,98,0.6049,6,0.037,12,0.0741,46,0.284,0,0
44,11,772,209,125,0.5981,5,0.0239,18,0.0861,61,0.2919,0,0
44,12,729,265,170,0.6415,4,0.0151,15,0.0566,75,0.283,1,0.0038
44,13,624,166,116,0.6988,4,0.0241,11,0.0663,35,0.2108,0,0
44,14,660,174,107,0.6149,2,0.0115,7,0.0402,57,0.3276,1,0.0057
44,15,679,208,133,0.6394,5,0.024,13,0.0625,57,0.274,0,0
44,16,799,228,133,0.5833,4,0.0175,12,0.0526,75,0.3289,4,0.0175
44,17,835,309,215,0.6958,4,0.0129,12,0.0388,75,0.2427,3,0.0097
44,18,835,199,135,0.6784,7,0.0352,12,0.0603,44,0.2211,1,0.005
44,19,796,291,170,0.5842,4,0.0137,24,0.0825,92,0.3162,1,0.0034
44,20,680,146,78,0.5342,6,0.0411,16,0.1096,46,0.3151,0,0
44,21,751,220,143,0.65,7,0.0318,7,0.0318,63,0.2864,0,0
44,22,735,290,190,0.6552,8,0.0276,23,0.0793,67,0.231,2,0.0069
44,23,662,169,103,0.6095,6,0.0355,12,0.071,47,0.2781,1,0.0059
44,24,585,288,192,0.6667,3,0.0104,14,0.0486,78,0.2708,1,0.0035
44,25,683,192,127,0.6615,2,0.0104,10,0.0521,51,0.2656,2,0.0104
44,26,715,206,131,0.6359,4,0.0194,8,0.0388,62,0.301,1,0.0049
44,27,759,229,140,0.6114,6,0.0262,16,0.0699,66,0.2882,1,0.0044
44,28,670,249,160,0.6426,5,0.0201,19,0.0763,64,0.257,1,0.004
44,29,799,191,113,0.5916,2,0.0105,11,0.0576,62,0.3246,3,0.0157
44,30,786,206,129,0.6262,6,0.0291,12,0.0583,58,0.2816,1,0.0049
44,31,678,190,117,0.6158,5,0.0263,12,0.0632,54,0.2842,2,0.0105
44,32,798,258,161,0.624,3,0.0116,13,0.0504,79,0.3062,2,0.0078
44,33,611,209,121,0.5789,5,0.0239,9,0.0431,72,0.3445,2,0.0096
44,34,791,267,168,0.6292,7,0.0262,13,0.0487,78,0.2921,1,0.0037
44,35,780,342,236,0.6901,10,0.0292,19,0.0556,76,0.2222,1,0.0029
44,36,691,196,125,0.6378,3,0.0153,5,0.0255,62,0.3163,1,0.0051
44,37,743,266,170,0.6391,3,0.0113,12,0.0451,74,0.2782,7,0.0263
44,38,717,191,124,0.6492,2,0.0105,14,0.0733,48,0.2513,3,0.0157
44,39,682,170,113,0.6647,1,0.0059,9,0.0529,46,0.2706,1,0.0059
44,40,656,230,149,0.6478,6,0.0261,8,0.0348,67,0.2913,0,0
44,41,797,235,149,0.634,13,0.0553,13,0.0553,58,0.2468,2,0.0085
45,1,504,209,89,0.4258,5,0.0239,21,0.1005,93,0.445,1,0.0048
45,2,572,193,85,0.4404,1,0.0052,14,0.0725,91,0.4715,2,0.0104
45,3,530,231,113,0.4892,4,0.0173,18,0.0779,95,0.4113,1,0.0043
45,4,740,340,144,0.4235,11,0.0324,38,0.1118,141,0.4147,6,0.0176
45,5,703,316,168,0.5316,12,0.038,23,0.0728,108,0.3418,5,0.0158
45,6,793,360,191,0.5306,10,0.0278,26,0.0722,131,0.3639,2,0.0056
45,7,874,394,190,0.4822,13,0.033,38,0.0964,153,0.3883,0,0
45,8,734,263,123,0.4677,12,0.0456,14,0.0532,113,0.4297,1,0.0038
45,9,751,266,115,0.4323,5,0.0188,30,0.1128,114,0.4286,2,0.0075
45,10,761,291,139,0.4777,4,0.0137,30,0.1031,117,0.4021,1,0.0034
45,11,582,187,76,0.4064,12,0.0642,17,0.0909,81,0.4332,1,0.0053
45,12,675,266,122,0.4586,12,0.0451,25,0.094,104,0.391,3,0.0113
45,13,587,292,131,0.4486,7,0.024,47,0.161,105,0.3596,2,0.0068
45,14,930,335,173,0.5164,16,0.0478,30,0.0896,115,0.3433,1,0.003
45,15,814,425,203,0.4776,6,0.0141,49,0.1153,161,0.3788,6,0.0141
45,16,608,261,126,0.4828,11,0.0421,29,0.1111,90,0.3448,5,0.0192
45,17,772,312,160,0.5128,10,0.0321,39,0.125,97,0.3109,6,0.0192
45,18,804,297,129,0.4343,7,0.0236,43,0.1448,118,0.3973,0,0
45,19,423,163,90,0.5521,4,0.0245,18,0.1104,48,0.2945,3,0.0184
45,20,539,183,82,0.4481,9,0.0492,21,0.1148,70,0.3825,1,0.0055
45,21,633,299,150,0.5017,6,0.0201,35,0.1171,107,0.3579,1,0.0033
45,22,684,275,147,0.5345,5,0.0182,49,0.1782,73,0.2655,1,0.0036
45,23,723,293,157,0.5358,8,0.0273,44,0.1502,83,0.2833,1,0.0034
45,24,626,261,129,0.4943,7,0.0268,38,0.1456,84,0.3218,3,0.0115
45,25,436,214,99,0.4626,6,0.028,42,0.1963,67,0.3131,0,0
45,26,440,164,71,0.4329,7,0.0427,35,0.2134,50,0.3049,1,0.0061
45,27,684,266,110,0.4135,10,0.0376,44,0.1654,99,0.3722,3,0.0113
45,28,567,238,118,0.4958,11,0.0462,20,0.084,85,0.3571,4,0.0168
45,29,517,193,96,0.4974,6,0.0311,30,0.1554,51,0.2642,10,0.0518
45,30,637,246,128,0.5203,8,0.0325,22,0.0894,87,0.3537,1,0.0041
45,31,558,245,129,0.5265,10,0.0408,23,0.0939,81,0.3306,2,0.0082
45,32,665,245,131,0.5347,8,0.0327,22,0.0898,83,0.3388,1,0.0041
45,33,485,175,88,0.5029,6,0.0343,12,0.0686,67,0.3829,2,0.0114
45,34,753,295,165,0.5593,8,0.0271,28,0.0949,90,0.3051,4,0.0136
45,35,724,338,153,0.4527,18,0.0533,55,0.1627,107,0.3166,5,0.0148
45,36,708,340,146,0.4294,14,0.0412,61,0.1794,115,0.3382,4,0.0118
